call_id,Customer  Id,Call Type,Date Created Local,Created At Local,Call Started Local,Scheduled Start Date Local,Scheduled Start Time Local,Scheduled End Time Local,Status,Booking Title,Booked By Staff Id,Staff First Joined Activity Timestamps Local,Staff Joined Activities Timestamps Local,Staff Joined Count,Staff Left Activities Timestamps UTC,Customer Joined Count,Customer Joined Activities Timestamps UTC,Customer Left Activities Timestamps UTC,Customer Enabled Video,Call Result,Call Duration (Sec),Staff Score,Avg Customer Rating (Overall),"Rating Question ""How Was The Stream Quality""","Rating Question ""Did you find your rep helpful?""","Rating Question ""How likely are you to use this service again""?",purchase_made_after_call,purchase_value_usd,timestamp of checkout,days_between_call_and_purchase
10653788,fk3nlsty-g7lu-ig6q-xli8-q1rjko1eh09c,BOOKING,26/05/2021,26/05/2021 15:52,28/05/2021 10:19,28/05/2021,28/05/2021 10:15,28/05/2021 10:25,ENDED,Live expert booking - All Goods,21998,28/05/2021 10:12,"2021-05-28 10:12:17, 2021-05-28 10:15:11, 2021-05-28 10:17:14",3,"2021-05-28 10:15:07, 2021-05-28 10:17:04, 2021-05-28 10:22:16",1,28/05/2021 10:19,,0,Booking - Successful call,147,3,,,,,YES,23.6,01/06/2021 13:21,4
10343190,kk4w9y59-suss-ampm-4pox-oj2qhv0py3t4,BOOKING,08/05/2021,08/05/2021 23:04,12/05/2021 16:45,12/05/2021,12/05/2021 16:45,12/05/2021 16:55,ENDED,Live expert booking - All Goods,22017,12/05/2021 16:41,12/05/2021 16:41,1,12/05/2021 16:51,1,12/05/2021 16:45,,1,Booking - Successful call,356,3,5,5,5,5,YES,597,16/05/2021 20:34,4
9647059,6vzngogp-dd3d-yllc-3zsc-gb3wui8cnsfo,BOOKING,06/04/2021,06/04/2021 16:53,07/04/2021 17:14,07/04/2021,07/04/2021 17:00,07/04/2021 17:10,ENDED,Live expert booking - All Goods,22017,07/04/2021 16:58,07/04/2021 16:58,1,07/04/2021 17:32,2,"2021-04-07 17:01:10, 2021-04-07 17:13:54",,1,Booking - Successful call,2427,4,5,5,5,5,YES,27.5,02/05/2021 14:10,25
9647059,6vzngogp-dd3d-yllc-3zsc-gb3wui8cnsfo,BOOKING,06/04/2021,06/04/2021 16:53,07/04/2021 17:14,07/04/2021,07/04/2021 17:00,07/04/2021 17:10,ENDED,Live expert booking - All Goods,22017,07/04/2021 16:58,07/04/2021 16:58,1,07/04/2021 17:32,2,"2021-04-07 17:01:10, 2021-04-07 17:13:54",,1,Booking - Successful call,2427,4,5,5,5,5,YES,39,24/04/2021 10:57,17
9709891,6l13g0kj-g0pa-hbw7-xshv-5ekgl2111yo6,BOOKING,08/04/2021,08/04/2021 18:10,09/04/2021 18:07,09/04/2021,09/04/2021 18:00,09/04/2021 18:15,ENDED,Live expert booking - All Goods,21998,09/04/2021 18:07,09/04/2021 18:07,1,09/04/2021 18:15,1,09/04/2021 17:59,,1,Booking - Successful call,524,3,4,4,4,4,YES,179,23/04/2021 08:23,14
9855287,yaogtp01-dez1-umb4-ijra-wbt5heqq1aa5,BOOKING,15/04/2021,15/04/2021 02:23,16/04/2021 14:16,16/04/2021,16/04/2021 14:15,16/04/2021 14:25,ENDED,Live expert booking - All Goods,21556,16/04/2021 14:15,16/04/2021 14:15,1,16/04/2021 14:23,1,16/04/2021 14:16,16/04/2021 14:23,1,Booking - Successful call,437,3,4.67,5,5,4,YES,767.1,19/04/2021 22:03,3
9779095,higgtrpr-o7df-xdl6-39ah-9gi47oas18yo,BOOKING,11/04/2021,11/04/2021 21:23,13/04/2021 17:35,13/04/2021,13/04/2021 17:30,13/04/2021 17:40,ENDED,Live expert booking - All Goods,21998,13/04/2021 17:26,13/04/2021 17:26,1,13/04/2021 17:40,1,13/04/2021 17:35,,1,Booking - Successful call,263,3,,,,,YES,1918.4,17/04/2021 12:33,4
9763767,4q374ps1-xgoh-cg4f-bkb5-l0uhpzbc45hk,BOOKING,11/04/2021,11/04/2021 09:03,12/04/2021 10:15,12/04/2021,12/04/2021 10:15,12/04/2021 10:25,ENDED,Live expert booking - All Goods,21998,12/04/2021 10:11,"2021-04-12 10:11:38, 2021-04-12 10:26:02",2,"2021-04-12 10:25:48, 2021-04-12 10:42:31",3,"2021-04-12 10:14:56, 2021-04-12 10:15:51, 2021-04-12 10:26:02",12/04/2021 10:26,1,Booking - Successful call,648,3,,,,,YES,30,15/04/2021 21:26,4
9101652,yyj4kil3-r7ea-tsuk-n1yw-0s376ee5u3gh,BOOKING,17/03/2021,17/03/2021 10:59,18/03/2021 11:16,18/03/2021,18/03/2021 11:15,18/03/2021 11:35,ENDED,Live expert booking - All Goods,21557,18/03/2021 11:13,18/03/2021 11:13,1,18/03/2021 11:26,2,"2021-03-18 11:15:18, 2021-03-18 11:16:19",18/03/2021 11:26,1,Booking - Successful call,582,4,5,5,5,5,YES,1877.6,12/04/2021 22:19,26
9682555,9v693akm-qiar-cflr-qihk-3w9abbyqxqvf,BOOKING,07/04/2021,07/04/2021 18:47,09/04/2021 11:14,09/04/2021,09/04/2021 11:15,09/04/2021 11:25,ENDED,Live expert booking - All Goods,22853,09/04/2021 11:14,09/04/2021 11:14,1,09/04/2021 11:24,1,09/04/2021 11:14,,0,Booking - Successful call,587,,4.67,5,4,5,YES,83.5,12/04/2021 08:31,3
